Jar Name,SHA-1 Checksum,Preferred GAV Coordinates,Artifact Type,POM Included/Available,Location of Artifact
guice-multibindings-2.0.jar,bfa4c1036fd7dc58019d0aeaec3faf4e8a685474,<dependency><groupId>google</groupId><artifactId>guice-multibindings</artifactId><version>2.0</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/google/guice-multibindings/2.0/guice-multibindings-2.0.jar
guice-assistedinject-2.0.jar,27c170d9cca9beb51f12fcb7851d8d1c2cd7e3a5,<dependency><groupId>google</groupId><artifactId>guice-assistedinject</artifactId><version>2.0</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/google/guice-assistedinject/2.0/guice-assistedinject-2.0.jar
hamcrest-library-1.1.jar,d59567e5dbcb70478b51984b47221af3da19b3ff,<dependency><groupId>hamcrest</groupId><artifactId>hamcrest-library</artifactId><version>1.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/hamcrest/hamcrest-library/1.1/hamcrest-library-1.1.jar
atlassian-core-3.12.jar,a17e8cf9d0a3392636586477460ea9d0385ae4c5,<dependency><groupId>com.atlassian.core</groupId><artifactId>atlassian-core</artifactId><version>3.12</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.core/atlassian-core/3.12/atlassian-core-3.12.jar
atlassian-util-concurrent-0.0.12.jar,d04c553c71fcd9a72439a085cb91207e52c2da05,<dependency><groupId>com.atlassian.util.concurrent</groupId><artifactId>atlassian-util-concurrent</artifactId><version>0.0.12</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.util.concurrent/atlassian-util-concurrent/0.0.12/atlassian-util-concurrent-0.0.12.jar
atlassian-event-2.0.2.jar,6f716f1fa244578db3cb17e6755780ed3a56f761,<dependency><groupId>com.atlassian.event</groupId><artifactId>atlassian-event</artifactId><version>2.0.2</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.event/atlassian-event/2.0.2/atlassian-event-2.0.2.jar
atlassian-velocity-0.8.jar,7d2a6d255d44ab9435ba1169b5c9e5b74d3c576e,<dependency><groupId>com.atlassian.velocity</groupId><artifactId>atlassian-velocity</artifactId><version>0.8</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.velocity/atlassian-velocity/0.8/atlassian-velocity-0.8.jar
atlassian-trusted-apps-core-2.2.jar,7503e09434ff6474879c56c2c04feb2d257aad5c,<dependency><groupId>com.atlassian.security.auth.trustedapps</groupId><artifactId>atlassian-trusted-apps-core</artifactId><version>2.2</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.security.auth.trustedapps/atlassian-trusted-apps-core/2.2/atlassian-trusted-apps-core-2.2.jar
atlassian-plugins-core-2.6.0.jar,6c74311582913acfce58e11ea77b47ea7cad6f57,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-core</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-core/2.6.0/atlassian-plugins-core-2.6.0.jar
atlassian-plugins-main-2.6.0.jar,5c84f5a64a22988c22138e01c855c2af0bc616db,<dependency><groupId>com.atlassian.plugins</groupId><artifactId>atlassian-plugins-main</artifactId><version>2.6.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/com.atlassian.plugins/atlassian-plugins-main/2.6.0/atlassian-plugins-main-2.6.0.jar
